score_band,samples,mae,rmse,mean_signed_error,risk_accuracy,actual_risk_rate
abaixo_6,2794,1.040581768240318,1.4107484265690031,0.7112075622891085,0.8618468146027202,1.0
6_a_6_99,1405,0.9570847249350771,1.2283043909693723,0.39541057934295365,0.5217081850533808,0.0
7_a_7_99,1649,0.9042404892204526,1.1183446462291085,0.12954425740377407,0.7707701637355974,0.0
8_a_8_99,2025,0.7721420349071897,0.9949410471517526,-0.1913021097975114,0.92,0.0
9_ou_mais,5370,0.6233564473265235,0.89432470402055,-0.5306884575082779,0.9884543761638733,0.0
