NomeSerie,samples,mae,rmse,mean_signed_error,risk_accuracy,actual_risk_rate
3ª Série,2511,0.9248748149119304,1.239301294042848,0.011644821416532844,0.8283552369573874,0.26563122262046995
2ª Série,2378,0.9093992255155734,1.2238453136516763,0.09295645431788647,0.8460891505466779,0.2867956265769554
9º Ano,1845,0.8954434810094267,1.182920912036506,-0.20592828582711248,0.8471544715447155,0.1907859078590786
1ª Série,2716,0.8570971331089453,1.1460424222704395,-0.01750264702537492,0.8457290132547864,0.24815905743740796
6º Ano,1305,0.6177091991973757,0.849549121959191,-0.01142747357682162,0.9478927203065134,0.10268199233716475
8º Ano,1048,0.6099159158361958,0.8435410659118124,-0.14135742252496614,0.9608778625954199,0.13740458015267176
7º Ano,1440,0.5166738675674736,0.7395310807172263,-0.09768041815066712,0.9631944444444445,0.09791666666666667
